task, time, temp, unit
Preheat,      2, +047,  degC
 Preheat,      7, +048,  degC
 Preheat,     12, +049,  degC
 Preheat,     17, +050,  degC
 Preheat,     22, +052,  degC
 Preheat,     27, +054,  degC
 Preheat,     32, +057,  degC
 Preheat,     37, +061,  degC
 Preheat,     42, +064,  degC
 Preheat,     47, +069,  degC
 Preheat,     52, +075,  degC
 Preheat,     57, +080,  degC
 Preheat,     62, +086,  degC
 Preheat,     67, +092,  degC
 Preheat,     72, +098,  degC
 Preheat,     77, +105,  degC
 Preheat,     82, +112,  degC
 Preheat,     87, +119,  degC
 Preheat,     92, +126,  degC
 Preheat,     97, +133,  degC
 Preheat,    102, +139,  degC
 Preheat,    107, +142,  degC
 Soak,    112, +146,  degC
 Soak,    117, +148,  degC
 Soak,    122, +150,  degC
 Soak,    127, +150,  degC
 Soak,    132, +151,  degC
 Soak,    137, +152,  degC
 Soak,    142, +152,  degC
 Soak,    147, +152,  degC
 Soak,    152, +152,  degC
 Soak,    157, +152,  degC
 Soak,    162, +152,  degC
 Soak,    167, +150,  degC
 Reflow,    172, +149,  degC
 Reflow,    177, +149,  degC
 Reflow,    182, +149,  degC
 Reflow,    187, +151,  degC
 Reflow,    192, +153,  degC
 Reflow,    197, +155,  degC
 Reflow,    202, +158,  degC
 Reflow,    207, +162,  degC
 Reflow,    212, +165,  degC
 Reflow,    217, +169,  degC
 Reflow,    222, +173,  degC
 Reflow,    227, +178,  degC
 Reflow,    232, +182,  degC
 Reflow,    237, +187,  degC
 Reflow,    242, +191,  degC
 Reflow,    247, +196,  degC
 Reflow,    252, +201,  degC
 Reflow,    257, +205,  degC
 Dwell,    262, +209,  degC
 Dwell,    267, +214,  degC
 Dwell,    272, +217,  degC
 Dwell,    277, +219,  degC
 Dwell,    282, +219,  degC
 Dwell,    287, +219,  degC
 Dwell,    292, +218,  degC
 Dwell,    297, +218,  degC
 Dwell,    302, +216,  degC
OFF,    307, +216,  degC
 OFF,    312, +210,  degC
 OFF,    317, +205,  degC
 OFF,    322, +196,  degC
 OFF,    327, +192,  degC
 OFF,    332, +189,  degC
 OFF,    337, +184,  degC
 OFF,    342, +179,  degC
 OFF,    347, +178,  degC
 OFF,    352, +172,  degC
 OFF,    357, +167,  degC
 OFF,    362, +165,  degC
 OFF,    367, +161,  degC
 OFF,    372, +158,  degC
 OFF,    377, +154,  degC
 OFF,    382, +149,  degC
 OFF,    387, +146,  degC
 OFF,    392, +144,  degC
 OFF,    397, +140,  degC
 OFF,    402, +137,  degC
 OFF,    407, +133,  degC
 OFF,    412, +131,  degC
 OFF,    417, +128,  degC
 OFF,    422, +124,  degC
 OFF,    427, +122,  degC
 OFF,    432, +119,  degC
 OFF,    437, +116,  degC
 OFF,    442, +114,  degC
 OFF,    447, +112,  degC
 OFF,    452, +110,  degC
 OFF,    457, +107,  degC
 OFF,    462, +105,  degC
 OFF,    467, +104,  degC
 OFF,    472, +101,  degC
 OFF,    477, +098,  degC
 OFF,    482, +097,  degC
 OFF,    487, +095,  degC
 OFF,    492, +093,  degC
 OFF,    497, +092,  degC
 OFF,    502, +090,  degC
 OFF,    507, +088,  degC
 OFF,    512, +086,  degC
 OFF,    517, +085,  degC
 OFF,    522, +083,  degC
 OFF,    527, +082,  degC
 OFF,    532, +079,  degC
 OFF,    537, +080,  degC
 OFF,    542, +079,  degC
 OFF,    547, +077,  degC
 OFF,    552, +076,  degC
 OFF,    557, +075,  degC
 OFF,    562, +074,  degC
 OFF,    567, +072,  degC
 OFF,    572, +072,  degC
 OFF,    577, +070,  degC
 OFF,    582, +069,  degC
 OFF,    587, +069,  degC
 OFF,    592, +068,  degC
 OFF,    597, +068,  degC
 OFF,    602, +066,  degC
 OFF,    607, +066,  degC
 OFF,    612, +065,  degC
 OFF,    617, +064,  degC
 OFF,    622, +063,  degC
 OFF,    627, +063,  degC
 OFF,    632, +062,  degC
 OFF,    637, +061,  degC
 OFF,    642, +061,  degC
 OFF,    647, +060,  degC
 OFF,    652, +059,  degC
 OFF,    657, +059,  degC
 OFF,    662, +058,  degC
 OFF,    667, +058,  degC
 OFF,    672, +057,  degC
 OFF,    677, +056,  degC
 OFF,    687, +055,  degC
 OFF,    692, +055,  degC
 OFF,    697, +055,  degC
 OFF,    702, +054,  degC
 OFF,    707, +053,  degC
 OFF,    712, +053,  degC
 OFF,    717, +052,  degC
 OFF,    722, +052,  degC
 OFF,    727, +051,  degC
 OFF,    732, +051,  degC
 OFF,    737, +050,  degC
 OFF,    742, +050,  degC
 OFF,    747, +050,  degC
 OFF,    752, +050,  degC
 OFF,    757, +049,  degC
 OFF,    762, +049,  degC
 OFF,    767, +048,  degC
 OFF,    772, +048,  degC
 OFF,    777, +047,  degC
